ApplicantReceiverID;ApplicantID;ReceiverID;ApplicantPreference;ReceiverPoints;PairedReceiver;Matched;ApplicantID2;ReceiverID2;ApplicantPreference2
289;33;1;0;5;6;0;33;1001;1
290;33;2;7;5;6;0;33;1002;8
291;33;3;6;5;6;0;33;1003;7
292;33;4;1;7;6;0;33;1004;2
293;33;5;4;1;6;0;33;1005;5
294;33;6;3;5;6;1;33;1006;4
295;33;7;2;5;6;0;33;1007;3
296;33;8;5;10;6;0;33;1008;6
297;33;9;8;5;6;0;33;1009;9
298;34;1;1;5;9;0;34;1001;2
299;34;2;2;5;9;0;34;1002;3
300;34;3;6;5;9;0;34;1003;7
301;34;4;7;5;9;0;34;1004;8
302;34;5;5;6;9;0;34;1005;6
303;34;6;8;5;9;0;34;1006;9
304;34;7;4;5;9;0;34;1007;5
305;34;8;3;7;9;0;34;1008;4
306;34;9;0;5;9;1;34;1009;1
307;35;1;4;5;8;0;35;1001;5
308;35;2;8;5;8;0;35;1002;9
309;35;3;1;5;8;0;35;1003;2
310;35;4;3;6;8;0;35;1004;4
311;35;5;6;7;8;0;35;1005;7
312;35;6;5;5;8;0;35;1006;6
313;35;7;2;5;8;0;35;1007;3
314;35;8;0;9;8;1;35;1008;1
315;35;9;7;5;8;0;35;1009;8
316;36;1;1;5;8;0;36;1001;2
317;36;2;2;5;8;0;36;1002;3
318;36;3;6;5;8;0;36;1003;7
319;36;4;7;7;8;0;36;1004;8
320;36;5;3;10;8;0;36;1005;4
321;36;6;8;5;8;0;36;1006;9
322;36;7;4;5;8;0;36;1007;5
323;36;8;0;10;8;1;36;1008;1
324;36;9;5;5;8;0;36;1009;6
325;37;1;4;5;2;0;37;1001;5
326;37;2;1;5;2;1;37;1002;2
327;37;3;5;5;2;0;37;1003;6
328;37;4;7;5;2;0;37;1004;8
329;37;5;3;1;2;0;37;1005;4
330;37;6;8;5;2;0;37;1006;9
331;37;7;6;5;2;0;37;1007;7
332;37;8;0;7;2;0;37;1008;1
333;37;9;2;5;2;0;37;1009;3
